Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean
InVision Aktiengesellschaft,Germany,Technology,Software—Application, ,au_market,GER, ,42465000,1.303797, 
Integrated Research Limited,Australia,Technology,Software—Application,AUD,au_market,ASX,2,583673280,0.930379, 
Alamo Energy Corp.,USA,Energy,Oil & Gas E&P,USD,au_market,PNK, ,45345,51.623447, 
Haldex AB (publ),Sweden,Consumer Cyclical,Auto Parts,SEK,au_market,STO,2,1910985984,1.70443, 
Hills Limited,Australia,Industrials,Security & Protection Services,AUD,au_market,ASX,1,42917412,0.88481, 
Hennessy Capital Acquisition Corp. III,USA,Financial Services,Shell Companies, ,au_market,ASE, ,441530720, , 
Health Advance Inc.,USA,Healthcare,Pharmaceutical Retailers, ,au_market,PNK, ,1230479,-0.244081, 
Gildan Activewear Inc.,Canada,Consumer Cyclical,Apparel Manufacturing,USD,au_market,TOR,14,6823744000,1.61115, 
Future Healthcare of America,USA,Financial Services,Capital Markets,HKD,au_market,PNK, ,6201655296, ,2
First National Bank Alaska,USA,Financial Services,Banks—Regional,USD,au_market,PNK, ,593908096,0.529875, 
First Advantage Bancorp,USA, , , ,au_market,PNK, , , , 
Golden Agri-Resources Ltd,Singapore,Consumer Defensive,Farm Products,USD,au_market,SES,12,2005351936,0.731645, 
"Daybreak Oil and Gas, Inc.",USA,Energy,Oil & Gas E&P, ,au_market,PNK, ,489977,7.520293, 
Computershare Limited,Australia,Technology,Information Technology Services,USD,au_market,ASX,11,7723766272,1.205063, 
Cromwell Property Group,Australia,Real Estate,REIT—Office,AUD,au_market,ASX,5,2342635520,0.697468, 
Clas Ohlson AB (publ),Sweden,Consumer Cyclical,Specialty Retail,SEK,au_market,STO,3,5159482880,1.089873, 
Commonwealth Bank of Australia,Australia,Financial Services,Banks—Diversified,AUD,au_market,ASX,13,142105411584,0.614556, 
BillerudKorsnäs AB (publ),Sweden,Basic Materials,Paper & Paper Products,SEK,au_market,STO,8,28780670976,0.698734, 
Bharti Airtel Limited,India,Communication Services,Telecom Services, ,au_market,NSI, ,2645401010176,0.599916, 
Billabong International Limited,Australia, , , ,au_market,ASX, , , , 
AstraZeneca PLC,United Kingdom,Healthcare,Drug Manufacturers—General,USD,au_market,LSE,25,104736260096,0.299367, 
Axfood AB,Sweden,Consumer Defensive,Food Distribution,SEK,au_market,STO,5,40354488320,0.04367, 
"Aura Systems, Inc.",USA,Industrials,Specialty Industrial Machinery,USD,au_market,PNK, ,7873135,0.570462, 
Alimentation Couche-Tard Inc.,Canada,Consumer Defensive,Grocery Stores, ,au_market,TOR, ,48297279488,0.874195, 
Avatar Ventures Corp.,USA,Consumer Goods,Auto Parts, ,au_market,PNK, ,20600,4.473506, 
"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Mexico,Industrials,Airports & Air Services,MXN,au_market,MEX,19,92994002944,0.649034, 
ASML Holding N.V.,Netherlands,Technology, ,EUR,au_market,AMS,28,162053701632,0.870886, 
Ashok Leyland Limited,India,Consumer Cyclical, ,INR,au_market,NSI,42,274030002176,1.088581, 
Algonquin Power & Utilities Corp.,Canada,Utilities,Utilities—Renewable,USD,au_market,TOR,13,12185402368,0.269478,2.5
African Queen Mines Ltd.,Canada, , , ,au_market,VAN, , , , 
Anglo Pacific Group plc,Canada,Basic Materials,Coking Coal, ,au_market,TOR, ,307802624,1.276582, 
Petróleo Brasileiro S.A. - Petrobras,Argentina, , , ,au_market,BUE, , , , 
