Name,Country,Sector,Industry,Currency,Market,Exchange,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean,Ticker
Apple Inc.,USA,Technology,Consumer Electronics,USD,us_market,NMS,38,2086460850176,1.354002,2,AAPL
Bank of America Corporation,USA,Financial Services,Banks—Diversified,USD,us_market,NYQ,25,248191172608,1.571589,2.4,BAC
"Amazon.com, Inc.",USA,Consumer Cyclical,Internet Retail,USD,us_market,NMS,46,1615678406656,1.298759,1.7,AMZN
AT&T Inc.,USA,Communication Services,Telecom Services,USD,us_market,NYQ,27,205727629312,0.673618,2.8,T
Alphabet Inc.,USA,Communication Services,Internet Content & Information,USD,us_market,NMS,12,1214037491712,1.023111,1.6,GOOG
"Altria Group, Inc.",USA,Consumer Defensive,Tobacco,USD,us_market,NYQ,14,75247427584,0.509582,2.1,MO
"Delta Air Lines, Inc.",USA,Industrials,Airlines,USD,us_market,NYQ,20,25483849728,1.267192,2.3,DAL
Alcoa Corporation,USA,Basic Materials,Aluminum,USD,us_market,NYQ,12,4058851840,2.268046,2.6,AA
American Express Company,USA,Financial Services,Credit Services,USD,us_market,NYQ,25,96567877632,1.215332,2.5,AXP
E. I. du Pont de Nemours and Company,USA,Basic Materials,Chemicals,USD,us_market,NYQ,20,46621487104,1.341037,1.8,DD
Alibaba Group Holding Limited,USA,Consumer Cyclical,Internet Retail,CNY,us_market,NYQ,47,731777662976,1.280157,1.6,BABA
Abbott Laboratories,USA,Healthcare,Medical Devices,USD,us_market,NYQ,17,192283328512,0.893461,1.9,ABT
"Under Armour, Inc.",USA,Consumer Cyclical,Apparel Manufacturing,USD,us_market,NYQ,2,7133831168,1.042277,4,UA
"Applied Materials, Inc.",USA,Technology,Semiconductor Equipment & Materials,USD,us_market,NMS,25,76962357248,1.276775,2.1,AMAT
Amgen Inc.,USA,Healthcare,Drug Manufacturers—General,USD,us_market,NMS,24,131034603520,0.80947,2.4,AMGN
American Airlines Group Inc.,USA,Industrials,Airlines,USD,us_market,NMS,18,8715745280,1.702367,3.5,AAL
"American International Group, Inc.",USA,Financial Services,Insurance—Diversified,USD,us_market,NYQ,15,33866588160,1.296505,2.4,AIG
The Allstate Corporation,USA,Financial Services,Insurance—Property & Casualty,USD,us_market,NYQ,14,31711252480,0.735062,2.2,ALL
Adobe Systems Incorporated,USA,Technology,Software—Infrastructure,USD,us_market,NMS,23,229857361920, , ,ADBE
Alphabet Inc.,USA,Communication Services,Internet Content & Information,USD,us_market,NMS,36,1216568229888,1.023111,1.8,GOOGL
Accenture plc,USA,Technology,Information Technology Services,USD,us_market,NYQ,24,160056737792,1.05806,2.2,ACN
AbbVie Inc.,USA,Healthcare,Drug Manufacturers—General,USD,us_market,NYQ,21,183679500288,0.68602,2,ABBV
ArcelorMittal,USA,Basic Materials,Steel,USD,us_market,NYQ,7,20475918336,1.942405,1.7,MT
Eli Lilly and Company,USA,Healthcare,Drug Manufacturers—General,USD,us_market,NYQ,17,139240079360,0.267192,2.3,LLY
Allergan plc,USA, , , ,us_market,NYQ, , , , ,AGN
Apache Corporation,USA,Energy,Oil & Gas E&P,USD,us_market,NYQ,28,4669403136,4.837655,2.5,APA
"Automatic Data Processing, Inc.",USA,Industrials,Staffing & Employment Services,USD,us_market,NMS,17,74900946944,0.702931,2.9,ADP
Anadarko Petroleum Corporation,USA, , , ,us_market,NYQ, , , , ,APC
"Akamai Technologies, Inc.",USA,Technology,Software—Infrastructure,USD,us_market,NMS,16,16964762624,0.466741,2.1,AKAM
"Annaly Capital Management, Inc.",USA,Real Estate,REIT—Mortgage,USD,us_market,NYQ,11,11269734400, ,2.2,NLY
Barrick Gold Corporation,USA, , , ,us_market,NYQ, , , , ,ABX
"Activision Blizzard, Inc.",USA,Communication Services,Electronic Gaming & Multimedia,USD,us_market,NMS,32,61774462976,0.701803,2,ATVI
"Autodesk, Inc.",USA,Technology,Software—Application,USD,us_market,NMS,21,61202960384,1.425591,2.1,ADSK
Archer-Daniels-Midland Company,USA,Consumer Defensive,Farm Products,USD,us_market,NYQ,12,27880652800,0.865839,1.7,ADM
Baumart Holdings Limited,Australia,Basic Materials,Building Materials, ,us_market,ASX, ,28225272,0.292929, ,BMH.AX
"Walgreens Boots Alliance, Inc.",USA,Healthcare,Pharmaceutical Retailers,USD,us_market,NMS,18,33326897152,0.445321,3.1,WBA
"Arena Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NMS,14,3845222144,1.17531,1.6,ARNA
Southwest Airlines Co.,USA,Industrials,Airlines,USD,us_market,NYQ,20,27902205952,1.198421,2.2,LUV
ACADIA Pharmaceuticals Inc.,USA,Healthcare,Biotechnology,USD,us_market,NMS,18,9028361216,1.426719,1.6,ACAD
"Palo Alto Networks, Inc.",USA,Technology,Software—Infrastructure,USD,us_market,NYQ,32,28071262208,1.315107,1.8,PANW
"Advanced Micro Devices, Inc.",USA,Technology,Semiconductors,USD,us_market,NCM,33,111407022080,2.33089,2.3,AMD
Aetna Inc.,USA, , , ,us_market,NYQ, , , , ,AET
"American Electric Power Company, Inc.",USA,Utilities,Utilities—Regulated Electric,USD,us_market,NYQ,17,42297393152,0.292559,2.3,AEP
"Alexion Pharmaceuticals, Inc.",USA,Healthcare,Biotechnology,USD,us_market,NMS,20,26731915264,1.312288,2.3,ALXN
Broadcom Limited,USA,Technology,Semiconductors,USD,us_market,NMS,28,163648962560,1.002818,1.9,AVGO
Electronic Arts Inc.,USA,Communication Services,Electronic Gaming & Multimedia,USD,us_market,NMS,32,36881022976,0.927282,2.2,EA
Deutsche Bank Aktiengesellschaft,USA,Financial Services,Banks—Regional,EUR,us_market,NYQ,1,23774894080,1.490506, ,DB
Agnico Eagle Mines Limited,USA,Basic Materials, ,USD,us_market,NYQ,16,16721220608,0.877677,2.1,AEM
"Air Products and Chemicals, Inc.",USA,Basic Materials,Chemicals,USD,us_market,NYQ,21,62590427136,0.893461,2.3,APD
"Ambarella, Inc.",USA,Technology,Semiconductor Equipment & Materials,USD,us_market,NMS,14,2724491520,1.218151,2.3,AMBA
Novartis AG,USA,Healthcare,Drug Manufacturers—General,USD,us_market,NYQ,2,206654717952,0.429113,1,NVS
Abercrombie & Fitch Co.,USA,Consumer Cyclical,Apparel Retail,USD,us_market,NYQ,11,1260780544,1.574408,2.7,ANF
Lululemon Athletica Inc.,USA,Consumer Cyclical,Apparel Retail,USD,us_market,NMS,31,49195761664,1.233934,2.1,LULU
Rite Aid Corporation,USA,Healthcare,Pharmaceutical Retailers,USD,us_market,NYQ,4,720390656,0.589627,3.4,RAD
Brookside Energy Limited,Australia,Energy,Oil & Gas E&P,AUD,us_market,ASX,1,10800001,0.808227, ,BRK.AX
Array BioPharma Inc.,USA,Technology,Solar,USD,us_market,NGM,8,5155956224, ,2.8,ARRY
AGNC Investment Corp.,USA,Real Estate,REIT—Mortgage,USD,us_market,NMS,12,8363552768,0.967869,1.9,AGNC
JetBlue Airways Corporation,USA,Industrials,Airlines,USD,us_market,NMS,16,4201703424,1.497181,2.8,JBLU
"Agilent Technologies, Inc.",USA,Healthcare,Diagnostics & Research,USD,us_market,NYQ,15,35300159488,1.032694,2.2,A
"O'Reilly Automotive, Inc.",USA,Consumer Cyclical,Specialty Retail,USD,us_market,NMS,18,32859695104,1.082299,2.1,ORLY
