Sector,Industry,Currency,Market,MaxAge,Nber_of_analyst_opinions,MarketCap,Volatility,Recommendation_mean,Symbol,Name,Exchange,Country
Technology,Consumer Electronics,USD,us_market,86400,38,2086460850176,1.354002,2,AAPL,Apple Inc.,NMS,USA
Financial Services,Banks—Diversified,USD,us_market, ,25,248191172608,1.571589,2.4,BAC,Bank of America Corporation,NYQ,USA
Consumer Cyclical,Internet Retail,USD,us_market,86400,46,1615678406656,1.298759,1.7,AMZN,"Amazon.com, Inc.",NMS,USA
Communication Services,Telecom Services,USD,us_market,86400,27,205727629312,0.673618,2.8,T,AT&T Inc.,NYQ,USA
Communication Services,Internet Content & Information,USD,us_market,86400,12,1214037491712,1.023111,1.6,GOOG,Alphabet Inc.,NMS,USA
Consumer Defensive,Tobacco,USD,us_market,86400,14,75247427584,0.509582,2.1,MO,"Altria Group, Inc.",NYQ,USA
Industrials,Airlines,USD,us_market,86400,20,25483849728,1.267192,2.3,DAL,"Delta Air Lines, Inc.",NYQ,USA
Basic Materials,Aluminum,USD,us_market,86400,12,4058851840,2.268046,2.6,AA,Alcoa Corporation,NYQ,USA
Financial Services,Credit Services,USD,us_market,86400,25,96567877632,1.215332,2.5,AXP,American Express Company,NYQ,USA
Basic Materials,Chemicals,USD,us_market,86400,20,46621487104,1.341037,1.8,DD,E. I. du Pont de Nemours and Company,NYQ,USA
Consumer Cyclical,Internet Retail,CNY,us_market,86400,47,731777662976,1.280157,1.6,BABA,Alibaba Group Holding Limited,NYQ,USA
Healthcare,Medical Devices,USD,us_market,86400,17,192283328512,0.893461,1.9,ABT,Abbott Laboratories,NYQ,USA
Consumer Cyclical,Apparel Manufacturing,USD,us_market, ,2,7133831168,1.042277,4,UA,"Under Armour, Inc.",NYQ,USA
Technology,Semiconductor Equipment & Materials,USD,us_market,86400,25,76962357248,1.276775,2.1,AMAT,"Applied Materials, Inc.",NMS,USA
Healthcare,Drug Manufacturers—General,USD,us_market,86400,24,131034603520,0.80947,2.4,AMGN,Amgen Inc.,NMS,USA
Industrials,Airlines,USD,us_market,86400,18,8715745280,1.702367,3.5,AAL,American Airlines Group Inc.,NMS,USA
Financial Services,Insurance—Diversified,USD,us_market,86400,15,33866588160,1.296505,2.4,AIG,"American International Group, Inc.",NYQ,USA
Financial Services,Insurance—Property & Casualty,USD,us_market,86400,14,31711252480,0.735062,2.2,ALL,The Allstate Corporation,NYQ,USA
Technology,Software—Infrastructure,USD,us_market,86400,23,229857361920, , ,ADBE,Adobe Systems Incorporated,NMS,USA
Communication Services,Internet Content & Information,USD,us_market,86400,36,1216568229888,1.023111,1.8,GOOGL,Alphabet Inc.,NMS,USA
Technology,Information Technology Services,USD,us_market, ,24,160056737792,1.05806,2.2,ACN,Accenture plc,NYQ,USA
Healthcare,Drug Manufacturers—General,USD,us_market,86400,21,183679500288,0.68602,2,ABBV,AbbVie Inc.,NYQ,USA
Basic Materials,Steel,USD,us_market,86400,7,20475918336,1.942405,1.7,MT,ArcelorMittal,NYQ,USA
Healthcare,Drug Manufacturers—General,USD,us_market,86400,17,139240079360,0.267192,2.3,LLY,Eli Lilly and Company,NYQ,USA
 , , ,us_market, , , , , ,AGN,Allergan plc,NYQ,USA
Energy,Oil & Gas E&P,USD,us_market,86400,28,4669403136,4.837655,2.5,APA,Apache Corporation,NYQ,USA
Industrials,Staffing & Employment Services,USD,us_market,86400,17,74900946944,0.702931,2.9,ADP,"Automatic Data Processing, Inc.",NMS,USA
 , , ,us_market, , , , , ,APC,Anadarko Petroleum Corporation,NYQ,USA
Technology,Software—Infrastructure,USD,us_market,86400,16,16964762624,0.466741,2.1,AKAM,"Akamai Technologies, Inc.",NMS,USA
Real Estate,REIT—Mortgage,USD,us_market,86400,11,11269734400, ,2.2,NLY,"Annaly Capital Management, Inc.",NYQ,USA
 , , ,us_market, , , , , ,ABX,Barrick Gold Corporation,NYQ,USA
Communication Services,Electronic Gaming & Multimedia,USD,us_market,86400,32,61774462976,0.701803,2,ATVI,"Activision Blizzard, Inc.",NMS,USA
